n_clusters,min_size,max_size,final_clusters,fragments,extra_fragments,size_cv,silhouette,min_cluster_size,max_cluster_size,score
4,30,100,59,59,0,0.3474401530943309,-0.3086608482400037,30,97,-32.60328558947203
6,50,100,44,44,0,0.2565081458780555,-0.26746636439887744,50,113,-28.02917716927802
6,50,120,41,41,0,0.28695186411395024,-0.27320587539168817,50,118,-28.755346859738566
6,50,150,34,34,0,0.3802424019553671,-0.24617285647453507,50,146,-26.51849765723034
6,50,180,32,32,0,0.38824499628174086,-0.250388867201283,50,158,-26.980111701537005
7,30,100,58,58,0,0.3596514480801923,-0.3119994199246627,30,97,-32.99819923286723
7,30,120,52,52,0,0.45698837280341637,-0.3162086093892271,30,117,-33.90580280293979
7,30,150,42,42,0,0.5562130079703845,-0.3246073454704312,30,146,-35.24179958689504
7,30,180,37,37,0,0.5751908744477856,-0.31691857515788036,30,168,-34.56781188802697
7,40,100,51,51,0,0.27884560562156313,-0.30826908642466316,40,98,-32.22113667057413
7,40,120,46,46,0,0.39659188297639325,-0.31365645983342766,40,120,-33.348605398224734
7,40,150,40,40,0,0.44971611323048827,-0.2841477758034607,40,145,-30.66335814649851
7,40,180,37,37,0,0.5065587552615614,-0.28776682707190293,40,161,-31.3094764834981
6,40,180,36,36,0,0.4893252465011737,-0.2835408880792302,40,161,-30.80071504042889
7,50,100,44,44,0,0.2565081458780555,-0.26746636439887744,50,113,-28.02917716927802
7,50,150,34,34,0,0.3802424019553671,-0.24617285647453507,50,146,-26.51849765723034
7,50,180,32,32,0,0.38824499628174086,-0.250388867201283,50,158,-26.980111701537005
8,30,100,57,57,0,0.36071119004078217,-0.30950303926082456,30,97,-32.75385987628636
8,30,120,51,51,0,0.45129775454571536,-0.3127948418803356,30,117,-33.53597296076213
8,30,150,42,42,0,0.5562130079703845,-0.3246073454704312,30,146,-35.24179958689504
8,30,180,37,37,0,0.5751908744477856,-0.31691857515788036,30,168,-34.56781188802697
8,40,100,51,51,0,0.27884560562156313,-0.30826908642466316,40,98,-32.22113667057413
8,40,120,46,46,0,0.39659188297639325,-0.31365645983342766,40,120,-33.348605398224734
8,40,150,40,40,0,0.44971611323048827,-0.2841477758034607,40,145,-30.66335814649851
8,40,180,35,35,0,0.49325813127465773,-0.28381310351894057,40,161,-30.847601008267347
8,50,100,44,44,0,0.2565081458780555,-0.26746636439887744,50,113,-28.02917716927802
8,50,120,41,41,0,0.28695186411395024,-0.27320587539168817,50,118,-28.755346859738566
7,50,120,42,42,0,0.2820209967203592,-0.27197563279826503,50,118,-28.6076682634283
6,40,150,40,40,0,0.44971611323048827,-0.2841477758034607,40,145,-30.66335814649851
6,40,120,46,46,0,0.39659188297639325,-0.31365645983342766,40,120,-33.348605398224734
6,40,100,51,51,0,0.27884560562156313,-0.30826908642466316,40,98,-32.22113667057413
4,30,120,52,52,0,0.4477106873669991,-0.3133312985903441,30,117,-33.571683295869406
4,30,150,42,42,0,0.5513475032813981,-0.30916971434331053,30,146,-33.673708950738046
4,30,180,40,40,0,0.5693376571670826,-0.3115005145678045,30,168,-33.99673974261586
4,40,100,52,52,0,0.2726848164654841,-0.3077333559490527,40,98,-32.13675967723269
4,40,120,46,46,0,0.38123715572766254,-0.2974766994062506,40,120,-31.653855719263372
4,40,150,40,40,0,0.43751934548182586,-0.2739410117099393,40,145,-29.581697898403057
4,40,180,38,38,0,0.48500852677736034,-0.27556277994187084,40,161,-29.981320628073885
4,50,100,44,44,0,0.2565081458780555,-0.26746636439887744,50,113,-28.02917716927802
4,50,120,42,42,0,0.28304910474174033,-0.2691183850205827,50,118,-28.327084025766975
4,50,150,34,34,0,0.38310562026310857,-0.252142079956813,50,146,-27.129736096996844
4,50,180,33,33,0,0.3937462167958621,-0.25366747512182,50,158,-27.33547859616131
5,30,100,59,59,0,0.3474401530943309,-0.3086608482400037,30,97,-32.60328558947203
5,30,120,53,53,0,0.45480417804898043,-0.31285475310655886,30,117,-33.55949620090079
5,30,150,42,42,0,0.5513475032813981,-0.30916971434331053,30,146,-33.673708950738046
5,30,180,40,40,0,0.5693376571670826,-0.3115005145678045,30,168,-33.99673974261586
5,40,100,52,52,0,0.2726848164654841,-0.3077333559490527,40,98,-32.13675967723269
5,40,120,46,46,0,0.38123715572766254,-0.2974766994062506,40,120,-31.653855719263372
5,40,150,40,40,0,0.43751934548182586,-0.2739410117099393,40,145,-29.581697898403057
5,40,180,38,38,0,0.48500852677736034,-0.27556277994187084,40,161,-29.981320628073885
5,50,100,44,44,0,0.2565081458780555,-0.26746636439887744,50,113,-28.02917716927802
5,50,120,41,41,0,0.28695186411395024,-0.27320587539168817,50,118,-28.755346859738566
5,50,150,34,34,0,0.38310562026310857,-0.252142079956813,50,146,-27.129736096996844
5,50,180,33,33,0,0.3937462167958621,-0.25366747512182,50,158,-27.33547859616131
6,30,100,58,58,0,0.3596514480801923,-0.3119994199246627,30,97,-32.99819923286723
6,30,120,52,52,0,0.45698837280341637,-0.3162086093892271,30,117,-33.90580280293979
6,30,150,41,41,0,0.5572593139910063,-0.31450907561550245,30,146,-34.23720413150528
6,30,180,38,38,0,0.5708213427515816,-0.31659972712890827,30,168,-34.514079426648735
8,50,150,34,34,0,0.3802424019553671,-0.24617285647453507,50,146,-26.51849765723034
8,50,180,32,32,0,0.38824499628174086,-0.250388867201283,50,158,-26.980111701537005
